date,windturbines_mw
2014-01-17,143429.0
2014-01-18,228512.0
2014-01-19,493524.0
2014-01-20,150380.0
2014-01-21,16860.0
2014-01-22,52357.0
2014-01-23,111516.0
2014-01-24,156933.0
2014-01-25,121578.0
2014-01-26,155796.0
2014-01-27,233960.0
2014-01-28,151795.0
2014-01-29,273537.0
2014-01-30,306954.0
2014-01-31,188843.0
2014-02-01,480167.0
2014-02-02,72477.0
2014-02-03,65684.0
2014-02-04,166230.0
2014-02-05,214610.0
2014-02-06,34491.0
2014-02-07,109082.0
2014-02-08,91919.0
2014-02-09,85628.0
2014-02-10,5391.0
2014-02-11,190678.0
2014-02-12,143803.0
2014-02-13,410438.0
2014-02-14,422670.0
2014-02-15,696912.0
2014-02-16,696078.0
2014-02-17,213319.0
2014-02-18,130658.0
2014-02-19,196079.0
2014-02-20,234912.0
2014-02-21,303299.0
2014-02-22,286827.0
2014-02-23,208634.0
2014-02-24,369506.0
2014-02-25,260577.0
2014-02-26,72842.0
2014-02-27,53623.0
2014-02-28,75669.0
2014-03-01,469732.0
2014-03-02,150529.0
2014-03-03,310263.0
2014-03-04,110928.0
2014-03-05,83286.0
